780,
30,30,
30,60,
60,30,
60,60,
90,30,
90,60,
120,30,
120,60,
180,30,
180,60,
210,30,
210,60,
240,30,
240,60,
270,30,
270,60,
330,30,
330,60,
360,30,
360,60,
390,30,
390,60,
420,30,
420,60,
480,30,
480,60,
510,30,
510,60,
540,30,
540,60,
570,30,
570,60,
630,30,
630,60,
660,30,
660,60,
690,30,
690,60,
720,30,
720,60,
780,30,
780,60,
810,30,
810,60,
840,30,
840,60,
870,30,
870,60,
930,30,
930,60,
960,30,
960,60,
990,30,
990,60,
1020,60,
1080,30,
1080,60,
1110,30,
1110,60,
1140,30,
1140,60,
1170,30,
1170,60,
1230,30,
1230,60,
1260,30,
1260,60,
1290,30,
1290,60,
1320,30,
1320,60,
1380,30,
1380,60,
1410,30,
1410,60,
1440,30,
1440,60,
1470,30,
1470,60,
30,120,
30,150,
60,120,
60,150,
90,120,
90,150,
120,120,
120,150,
180,120,
180,150,
210,150,
240,120,
240,150,
270,120,
270,150,
330,120,
330,150,
360,120,
360,150,
390,120,
390,150,
420,120,
420,150,
480,120,
480,150,
510,120,
510,150,
540,120,
540,150,
570,120,
570,150,
630,120,
630,150,
660,120,
660,150,
690,150,
720,120,
780,120,
780,150,
810,120,
810,150,
840,120,
840,150,
870,120,
870,150,
930,120,
930,150,
960,120,
960,150,
990,120,
990,150,
1020,120,
1020,150,
1080,120,
1080,150,
1110,150,
1140,120,
1140,150,
1170,120,
1170,150,
1230,120,
1230,150,
1260,120,
1260,150,
1290,120,
1290,150,
1320,150,
1380,120,
1380,150,
1410,120,
1410,150,
1440,120,
1470,120,
1470,150,
30,210,
30,240,
60,210,
60,240,
90,210,
90,240,
120,210,
120,240,
180,210,
180,240,
210,210,
210,240,
240,210,
240,240,
270,210,
270,240,
330,210,
330,240,
360,210,
360,240,
390,210,
390,240,
420,210,
420,240,
480,210,
480,240,
510,210,
510,240,
540,210,
540,240,
570,210,
630,210,
630,240,
660,210,
660,240,
690,210,
690,240,
720,210,
720,240,
780,210,
780,240,
810,210,
810,240,
840,210,
840,240,
870,210,
870,240,
930,210,
930,240,
960,210,
960,240,
990,210,
990,240,
1020,210,
1020,240,
1080,210,
1080,240,
1110,240,
1140,210,
1140,240,
1170,210,
1170,240,
1230,210,
1230,240,
1260,210,
1260,240,
1290,210,
1290,240,
1320,210,
1320,240,
1380,210,
1380,240,
1410,210,
1410,240,
1440,210,
1440,240,
1470,210,
1470,240,
30,300,
30,330,
60,300,
60,330,
90,300,
90,330,
120,300,
120,330,
180,300,
180,330,
210,300,
210,330,
240,300,
240,330,
270,300,
270,330,
330,300,
330,330,
360,300,
360,330,
390,300,
390,330,
420,330,
480,300,
480,330,
510,300,
510,330,
540,300,
540,330,
570,300,
570,330,
630,300,
630,330,
660,300,
660,330,
690,300,
690,330,
720,300,
720,330,
780,300,
780,330,
810,300,
810,330,
840,300,
840,330,
870,300,
870,330,
930,300,
930,330,
960,300,
960,330,
990,300,
990,330,
1020,300,
1020,330,
1080,300,
1080,330,
1110,300,
1110,330,
1140,300,
1170,300,
1170,330,
1230,300,
1230,330,
1260,300,
1260,330,
1290,300,
1290,330,
1320,300,
1320,330,
1380,300,
1380,330,
1410,300,
1410,330,
1440,300,
1440,330,
1470,300,
1470,330,
30,390,
30,420,
60,390,
60,420,
90,390,
90,420,
120,390,
120,420,
180,390,
180,420,
210,390,
210,420,
240,390,
240,420,
270,390,
270,420,
330,390,
330,420,
360,390,
360,420,
390,390,
390,420,
420,390,
420,420,
480,390,
480,420,
510,390,
510,420,
540,390,
540,420,
570,390,
570,420,
630,390,
630,420,
660,390,
660,420,
690,390,
690,420,
720,390,
720,420,
780,390,
780,420,
810,390,
810,420,
840,390,
840,420,
870,390,
870,420,
930,390,
930,420,
960,390,
960,420,
990,390,
990,420,
1020,390,
1020,420,
1080,390,
1080,420,
1110,390,
1110,420,
1140,390,
1140,420,
1170,390,
1170,420,
1230,390,
1230,420,
1260,390,
1260,420,
1290,390,
1290,420,
1320,420,
1380,390,
1380,420,
1410,390,
1410,420,
1440,390,
1440,420,
1470,390,
1470,420,
30,480,
30,510,
60,480,
60,510,
90,480,
90,510,
120,480,
120,510,
180,480,
180,510,
210,480,
210,510,
240,480,
240,510,
270,480,
270,510,
330,480,
330,510,
360,480,
360,510,
390,480,
390,510,
420,480,
420,510,
480,480,
480,510,
510,480,
510,510,
540,480,
540,510,
570,480,
570,510,
630,480,
630,510,
660,480,
660,510,
690,480,
690,510,
720,480,
720,510,
780,480,
780,510,
810,510,
840,480,
840,510,
870,480,
870,510,
930,480,
930,510,
960,480,
960,510,
990,480,
990,510,
1020,480,
1020,510,
1080,480,
1080,510,
1110,480,
1110,510,
1140,480,
1140,510,
1170,480,
1170,510,
1230,480,
1230,510,
1260,480,
1260,510,
1290,480,
1290,510,
1320,480,
1320,510,
1380,480,
1380,510,
1410,480,
1410,510,
1440,480,
1440,510,
1470,480,
1470,510,
30,570,
30,600,
60,570,
60,600,
90,570,
90,600,
120,570,
120,600,
180,570,
180,600,
210,570,
210,600,
240,570,
240,600,
270,570,
270,600,
330,570,
330,600,
360,570,
360,600,
390,570,
390,600,
420,570,
420,600,
480,570,
480,600,
510,570,
510,600,
540,570,
540,600,
570,570,
570,600,
630,570,
630,600,
660,570,
660,600,
690,570,
690,600,
720,570,
720,600,
780,570,
780,600,
810,570,
810,600,
840,570,
840,600,
870,570,
870,600,
930,570,
930,600,
960,570,
960,600,
990,570,
990,600,
1020,570,
1020,600,
1080,570,
1080,600,
1110,570,
1110,600,
1140,570,
1170,570,
1170,600,
1230,570,
1230,600,
1260,570,
1260,600,
1290,570,
1290,600,
1320,570,
1320,600,
1380,600,
1410,570,
1410,600,
1440,570,
1440,600,
1470,570,
1470,600,
30,660,
30,690,
60,660,
60,690,
90,660,
90,690,
120,660,
120,690,
180,660,
180,690,
210,660,
210,690,
240,660,
240,690,
330,660,
330,690,
360,660,
360,690,
390,660,
390,690,
420,660,
420,690,
480,660,
480,690,
510,660,
510,690,
540,660,
540,690,
570,660,
570,690,
630,660,
630,690,
660,660,
660,690,
690,660,
690,690,
720,660,
720,690,
780,660,
780,690,
810,660,
810,690,
840,660,
840,690,
870,660,
870,690,
930,660,
930,690,
960,660,
960,690,
990,660,
990,690,
1020,660,
1020,690,
1080,660,
1080,690,
1110,660,
1110,690,
1140,660,
1140,690,
1170,660,
1170,690,
1230,660,
1230,690,
1260,660,
1260,690,
1290,660,
1290,690,
1320,660,
1320,690,
1380,660,
1410,660,
1410,690,
1440,660,
1440,690,
1470,660,
1470,690,
30,750,
30,780,
60,750,
60,780,
90,750,
90,780,
120,750,
120,780,
180,750,
180,780,
210,750,
210,780,
240,750,
240,780,
270,750,
270,780,
330,750,
330,780,
360,750,
360,780,
390,750,
390,780,
420,750,
420,780,
480,750,
480,780,
510,750,
510,780,
540,750,
540,780,
570,750,
570,780,
630,750,
630,780,
660,750,
660,780,
690,750,
690,780,
720,750,
720,780,
780,750,
780,780,
810,750,
810,780,
840,750,
840,780,
870,750,
870,780,
930,750,
930,780,
960,750,
960,780,
990,750,
990,780,
1020,750,
1020,780,
1080,750,
1080,780,
1110,750,
1110,780,
1140,750,
1140,780,
1170,750,
1170,780,
1230,750,
1230,780,
1260,750,
1260,780,
1290,750,
1290,780,
1320,750,
1320,780,
1380,750,
1380,780,
1410,780,
1440,750,
1440,780,
1470,750,
1470,780,
30,840,
30,870,
60,840,
60,870,
90,840,
90,870,
120,840,
120,870,
180,840,
180,870,
210,840,
210,870,
240,840,
240,870,
270,840,
270,870,
330,840,
330,870,
360,870,
390,840,
390,870,
420,840,
420,870,
480,840,
480,870,
510,840,
510,870,
540,840,
540,870,
570,840,
570,870,
630,840,
630,870,
660,840,
660,870,
690,840,
690,870,
720,840,
720,870,
780,840,
780,870,
810,840,
810,870,
840,840,
840,870,
870,840,
870,870,
930,840,
930,870,
960,840,
960,870,
990,840,
990,870,
1020,840,
1020,870,
1080,840,
1080,870,
1110,840,
1110,870,
1140,840,
1140,870,
1170,840,
1170,870,
1230,840,
1230,870,
1260,840,
1260,870,
1290,840,
1290,870,
1320,840,
1320,870,
1380,840,
1380,870,
1410,840,
1410,870,
1440,840,
1440,870,
1470,840,
1470,870,
20,
1020,30,S,3,
210,120,S,4,
690,120,S,1,
720,150,N,5,
1110,120,S,2,
1320,120,S,5,
1440,150,N,4,
570,240,N,3,
1110,210,S,2,
420,300,S,3,
1140,330,N,1,
1320,390,S,4,
810,480,S,4,
1140,600,N,2,
1380,570,S,1,
270,660,S,5,
270,690,N,1,
1380,690,N,1,
1410,750,S,1,
360,840,S,3,
